method,dataset_id,TP,FP,TN,FN,TTD,wrongpipe,dataset,precision,recall (TPR),TNR,FPR,FNR,F1,params
LILA,battledim,1,10,,18,57300.0,1,battledim,0.09090909090909091,0.05263157894736842,,,0.9473684210526315,0.06666666666666667,"{'est_length': 1.0, 'C_threshold': 3.0, 'delta': 4.0}"
LILA,battledim,6,14,,13,589800.0,6,battledim,0.3,0.3157894736842105,,,0.6842105263157895,0.3076923076923077,"{'est_length': 72.0, 'C_threshold': 3.0, 'delta': 4.0}"
